player;age;games;min;weight;height;points;a_field_goals;p_field_goals;p_efg;p_2points;a_3points;p_3points;prop_2p;prop_3p;a_free_throws;p_free_throws;p_true_shooting;oreb;dreb;reb;p_oreb;p_dreb;p_reb;assist;tov;steal;blocks;fauls;off_rtng;def_rtng;net_rtng;plus_minus;p_usage
Aaron Gordon;26;75;31.7;235;6,8;15;11.1;0.52;0.573;0.616;3.5;0.335;0.688;0.312;3.1;0.743;0.602;1.7;4.2;5.9;0.057;0.129;0.095;2.5;1.8;0.6;0.6;2;117.3;111.1;6.2;4.3;0.194
Aaron Henry;22;6;2.8;210;6,5;0.3;0.8;0.2;0.2;1;0.2;0;0.8;0.2;0;0;0.2;0;0.2;0.2;0;0.048;0.024;0;0.3;0;0.3;0.3;71.1;127;-56;-3.3;0.149
Aaron Holiday;25;63;16.2;185;6,0;6.3;5.4;0.447;0.504;0.56;1.6;0.379;0.695;0.305;1.1;0.868;0.544;0.4;1.6;1.9;0.023;0.092;0.058;2.4;1.1;0.7;0.1;1.5;106.8;108.2;-1.4;-0.6;0.182
Aaron Nesmith;22;52;11;215;6,5;3.8;3.5;0.396;0.481;0.418;2.2;0.27;0.368;0.632;0.5;0.808;0.507;0.3;1.4;1.7;0.025;0.117;0.073;0.4;0.6;0.4;0.1;1.3;107.3;104.3;3;0.4;0.164
Aaron Wiggins;23;50;24.2;190;6,4;8.3;6.7;0.463;0.525;0.548;2.8;0.304;0.591;0.409;1.7;0.729;0.556;1;2.5;3.6;0.04;0.098;0.069;1.4;1.1;0.6;0.2;1.9;104.5;112.6;-8.1;-4.7;0.149
Abdel Nader;28;14;10.4;225;6,5;2.4;2.5;0.343;0.4;0.471;1;0.286;0.6;0.4;0.7;0.6;0.431;0.3;1.6;1.9;0.026;0.145;0.087;0.5;0.8;0.6;0.3;1.4;95.1;96;-0.9;-0.1;0.139
Ade Murkey;24;1;1.5;200;6,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33.3;66.7;-33.3;-1;0
Admiral Schofield;25;38;12.3;241;6,5;3.8;3.4;0.419;0.519;0.384;2.1;0.329;0.388;0.612;0.4;0.8;0.538;0.4;1.9;2.3;0.033;0.146;0.088;0.7;0.6;0.1;0.1;1.5;100.3;113.8;-13.5;-3.4;0.143
Ahmad Caver;25;1;0.8;174;6,2;2;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;200;66.7;133.3;2;0.5
Al Horford;36;69;29.1;240;6,9;10.2;8.2;0.467;0.546;0.505;3.8;0.336;0.534;0.466;1.4;0.842;0.574;1.6;6.1;7.7;0.054;0.201;0.13;3.4;0.9;0.7;1.3;1.9;112.8;103.4;9.3;5.6;0.147
Alec Burks;30;81;28.6;214;6,6;11.7;9;0.391;0.499;0.271;4.8;0.404;0.466;0.534;3.3;0.822;0.559;0.6;4.3;4.9;0.019;0.148;0.082;3;1.1;1;0.3;2.7;110.3;108.1;2.3;1.5;0.171
